no	year	d_or_f	rank	title	author	translator	label	score
0826	2015年	海外篇	09位	『短篇ベスト10』	スタニスワフ・レム	沼野充義、関口時正、久山宏一、芝田文乃訳	国書刊行会 スタニスワフ・レムコレクション	094点
0827	2015年	海外篇	10位	『楽園炎上』	ロバート・チャールズ・ウィルスン	茂木健訳	創元SF文庫	087点
0828	2015年	海外篇	11位	『汝、コンピューターの夢 〈八世界〉全短編1』	ジョン・ヴァーリイ	大野万紀訳	創元SF文庫	085点
0829	2015年	海外篇	12位	『明日と明日』	トマス・スウェターリッチ	日暮雅通訳	ハヤカワ文庫SF	082点
0830	2015年	海外篇	13位	《サザーン・リーチ》三部作	ジェフ・ヴァンダミア	酒井昭伸訳	ハヤカワ文庫NV	080点
0831	2015年	海外篇	14位	『エンジェルメイカー』	ニック・ハーカウェイ	黒原敏行訳	ハヤカワ・ミステリ	075点
0832	2015年	海外篇	15位	『複成王子』	ハンヌ・ライアニエミ	酒井昭伸訳	新☆ハヤカワ・SF・シリーズ	065点
0833	2015年	海外篇	16位	『泰平ヨンの未来学会議〔改訳版〕』	スタニスワフ・レム	深見弾、大野典宏訳	ハヤカワ文庫SF	064点
0834	2015年	海外篇	17位	『逆行の夏 ジョン・ヴァーリイ傑作選』	ジョン・ヴァーリイ	浅倉久志、宮脇孝雄、大野万紀、内田昌之、中原尚哉訳	ハヤカワ文庫SF	060点
0835	2015年	海外篇	18位	『服従』	ミシェル・ウエルベック	大塚桃訳	河出書房新社	052点
0836	2015年	海外篇	18位	『幽霊海賊』	ウィリアム・ホープ・ホジスン	夏来健次訳	書苑新社・ナイトランド叢書	052点
0837	2015年	海外篇	20位	『レッド・ライジング 火星の簒奪者』	ピアース・ブラウン	内田昌之訳	ハヤカワ文庫SF	050点
0838	2016年	国内篇	01位	『夢みる葦笛』	上田早夕里		光文社	297点
0839	2016年	国内篇	02位	『スペース金融道』	宮内悠介		河出書房新社	220点
0840	2016年	国内篇	03位	『ビビビ・ビ・バップ』	奥泉光		講談社	187点
0841	2016年	国内篇	04位	『カメリ』	北野勇作		河出文庫	163点
0842	2016年	国内篇	05位	『プロローグ』	円城塔		文藝春秋	161点
0843	2016年	国内篇	06位	『モナドの領域』	筒井康隆		新潮社	123点
0844	2016年	国内篇	07位	『彼女がエスパーだったころ』	宮内悠介		講談社	107点
0845	2016年	国内篇	08位	『大きな鳥にさらわれないよう』	川上弘美		講談社	099点
0846	2016年	国内篇	09位	『カムパネルラ』	山田正紀		創元日本SF叢書	091点
0847	2016年	国内篇	10位	『ドン・キホーテの消息』	樺山三英		幻戯書房	086点
0848	2016年	国内篇	11位	『年刊日本SF傑作選 アステロイド・ツリーの彼方へ』	大森望、日下三蔵編		創元SF文庫	076点
0849	2016年	国内篇	12位	『失われた過去と未来の犯罪』	小林泰三		角川書店	074点
0850	2016年	国内篇	13位	『アメリカ最後の実験』	宮内悠介		新潮社	065点
0851	2016年	国内篇	14位	『青い海の宇宙港(春夏篇・秋冬篇)』	川端裕人		早川書房	061点
0852	2016年	国内篇	15位	『消滅世界』	村田沙耶香		河出書房新社	056点
0853	2016年	国内篇	16位	『ヴィジョンズ』	大森望編		講談社	055点
0854	2016年	国内篇	17位	『セルフ・クラフト・ワールド(全3巻)』	芝村裕吏		ハヤカワ文庫JA	045点
0855	2016年	国内篇	18位	『世界の涯ての夏』	つかいまこと 		ハヤカワ文庫JA	040点
0856	2016年	国内篇	18位	『僕が愛したすべての君へ』/『君を愛したひとりの僕へ』	乙野四方字		ハヤカワ文庫JA	040点
0857	2016年	国内篇	20位	『筺底のエルピス4 ―廃棄未来―』	オキシタケヒコ		小学館ガガガ文庫	039点
0858	2016年	国内篇	20位	『竜と流木』	篠田節子		講談社	039点
0859	2016年	国内篇	22位	『楽園追放2.0 楽園残響 ―Godspeed You―』	大樹連司 / ニトロプラス、東映アニメーション原作		ハヤカワ文庫JA	036点
0860	2016年	国内篇	23位	『天冥の標IX ヒトであるヒトとないヒトと(PART1・2)』	小川一水		ハヤカワ文庫JA	035点
0861	2016年	国内篇	24位	『クロニスタ 戦争人類学者』	柴田勝家		ハヤカワ文庫JA	033点
0862	2016年	国内篇	25位	『ユートロニカのこちら側』	小川哲		ハヤカワSFシリーズ Jコレクション	030点
0863	2016年	国内篇	26位	『あるいは修羅の十億年』	古川日出男		集英社	029点
0864	2016年	国内篇	26位	『ウルトラマンF』	小林泰三		早川書房	029点
0865	2016年	国内篇	28位	『怪奇探偵リジー&クリスタル』	山本弘		角川書店	027点
0866	2016年	国内篇	28位	『私は存在が空気』	中田永一		祥伝社	027点
0867	2016年	国内篇	30位	『現代SF観光局』	大森望		河出書房新社	026点
0868	2016年	海外篇	01位	『死の鳥』	ハーラン・エリスン	伊藤典夫訳	ハヤカワ文庫SF	256点
0869	2016年	海外篇	02位	『ユナイテッド・ステイツ・オブ・ジャパン』	ピーター・トライアス	中原尚哉訳	新☆ハヤカワ・SF・シリーズ	229点
0870	2016年	海外篇	03位	『叛逆航路』	アン・レッキー	赤尾秀子訳	創元SF文庫	186点
0871	2016年	海外篇	04位	『あまたの星、宝冠のごとく』	ジェイムズ・ティプトリー・ジュニア	伊藤典夫、小野田和子訳	ハヤカワ文庫SF	180点
0872	2016年	海外篇	05位	『クロックワーク・ロケット』	グレッグ・イーガン	山岸真、中村融訳	新☆ハヤカワ・SF・シリーズ	172点
0873	2016年	海外篇	06位	『宇宙探偵マグナス・リドルフ』	ジャック・ヴァンス	浅倉久志、酒井昭伸訳	国書刊行会	167点
0874	2016年	海外篇	07位	『ロデリック』	ジョン・スラデック	柳下毅一郎訳	河出書房新社	120点
0875	2016年	海外篇	08位	『ガンメタル・ゴースト』	ガレス・L・パウエル	三角和代訳	創元SF文庫	108点
0876	2016年	海外篇	09位	『蒲公英王朝記(巻ノ一・巻ノ二)』	ケン・リュウ	古沢嘉通訳	新☆ハヤカワ・SF・シリーズ	098点
0877	2016年	海外篇	10位	『エターナル・フレイム』	グレッグ・イーガン	山岸真、中村融訳	新☆ハヤカワ・SF・シリーズ	095点
0878	2016年	海外篇	11位	『J・G・バラード短編全集1 時の声』	J・G・バラード	柳下毅一郎訳	東京創元社	092点
0879	2016年	海外篇	12位	『翼のジェニー ウィルヘルム初期傑作選』	ケイト・ウィルヘルム	伊東麻紀、尾之上浩司、佐藤正明、増田まもる、安田均訳	書苑新社	090点
0880	2016年	海外篇	13位	『ハリー・オーガスト、15回目の人生』	クレア・ノース	雨海弘美訳	角川文庫	089点
0881	2016年	海外篇	14位	『さようなら、ロビンソン・クルーソー 〈八世界〉全短編2』	ジョン・ヴァーリイ	浅倉久志訳	創元SF文庫	088点
0882	2016年	海外篇	15位	『人生の真実』	グレアム・ジョイス	市田泉訳	創元海外SF叢書	080点
0883	2016年	海外篇	16位	《叛逆航路》三部作	アン・レッキー	赤尾秀子訳	創元SF文庫	078点
0884	2016年	海外篇	17位	『スキャナーに生きがいはない 人類補完機構全短篇1』	コードウェイナー・スミス	伊藤典夫訳	ハヤカワ文庫SF	075点
0885	2016年	海外篇	17位	『パンドラの少女』	M・R・ケアリー	茂木健訳	東京創元社	075点
0886	2016年	海外篇	19位	『ラグランジュ・ミッション』	ジェイムズ・L・キャンビアス	中原尚哉訳	ハヤカワ文庫SF	065点
0887	2016年	海外篇	20位	《ウィザード・ナイト》	ジーン・ウルフ	安野玲訳	国書刊行会	062点
0888	2016年	海外篇	21位	『デューン 砂の惑星〔新訳版〕(全3巻)』	フランク・ハーバート	酒井昭伸訳	ハヤカワ文庫SF	060点
0889	2016年	海外篇	22位	『虚構の男』	L・P・デイヴィス	矢口誠訳	国書刊行会・ドーキー・アーカイヴ	057点
0890	2016年	海外篇	23位	『狂気の巡礼』	ステファン・グラビンスキ	芝田文乃訳	国書刊行会	056点
